cleaned_method,target_block,tokens_in_method
"def _resolve_lib_imported_symbols(self, lib, imported_libs, generic_refs):
    """"""Resolve the imported symbols in a library.""""""
    for symbol in lib.elf.imported_symbols:
        imported_lib = self._find_exported_symbol(symbol, imported_libs)
        if not imported_lib:
            lib.unresolved_symbols.add(symbol)
        else:
            lib.linked_symbols[symbol] = imported_lib
            if generic_refs:
                ref_lib = generic_refs.refs.get(imported_lib.path)
                if not ref_lib or not symbol in ref_lib.exported_symbols:
                    lib.imported_ext_symbols[imported_lib].add(symbol)
",if generic_refs :,189
"def make_docs_directory(output_dir, name):
    if not isdir(pjoin(output_dir, name)):
        subprocess.run([""mkdir"", pjoin(output_dir, name)], stdout=subprocess.PIPE)
    for i in range(10):
        if not isdir(pjoin(output_dir, name, str(i))):
            subprocess.run(
                [""mkdir"", pjoin(output_dir, name, str(i))], stdout=subprocess.PIPE
            )
","if not isdir ( pjoin ( output_dir , name , str ( i ) ) ) :",121
"def assert_results(self, results, activities, msg=""""):
    activity_ids = []
    extra_context = []
    for result in results:
        if hasattr(result, ""serialization_id""):
            activity_ids.append(result.serialization_id)
        else:
            activity_ids.append(result)
        if hasattr(result, ""extra_context""):
            extra_context.append(result.extra_context)
    compare_lists(activity_ids, [a.serialization_id for a in activities], msg)
    if extra_context:
        self.assertEquals([a.extra_context for a in activities], extra_context)
","if hasattr ( result , ""extra_context"" ) :",164
"def for_file(cls, filename: str, modname: str) -> ""ModuleAnalyzer"":
    if (""file"", filename) in cls.cache:
        return cls.cache[""file"", filename]
    try:
        with tokenize.open(filename) as f:
            obj = cls(f, modname, filename, decoded=True)
            cls.cache[""file"", filename] = obj
    except Exception as err:
        if "".egg"" + path.sep in filename:
            obj = cls.cache[""file"", filename] = cls.for_egg(filename, modname)
        else:
            raise PycodeError(""error opening %r"" % filename, err) from err
    return obj
","if "".egg"" + path . sep in filename :",170
"def merge_dicts(source: Dict, destination: Dict) -> Dict:
    for key, value in source.items():
        if isinstance(value, dict):
            # get node or create one
            node = destination.setdefault(key, {})
            merge_dicts(value, node)
        else:
            destination[key] = value
    return destination
","if isinstance ( value , dict ) :",92
"def _escape_attrib_c14n(text):
    # escape attribute value
    try:
        if ""&"" in text:
            text = text.replace(""&"", ""&amp;"")
        if ""<"" in text:
            text = text.replace(""<"", ""&lt;"")
        if '""' in text:
            text = text.replace('""', ""&quot;"")
        if ""\t"" in text:
            text = text.replace(""\t"", ""&#x9;"")
        if ""\n"" in text:
            text = text.replace(""\n"", ""&#xA;"")
        if ""\r"" in text:
            text = text.replace(""\r"", ""&#xD;"")
        return text
    except (TypeError, AttributeError):
        _raise_serialization_error(text)
","if ""\t"" in text :",188
"def get_oldest(class_name):
    """"""Get the oldest object for a specific class name""""""
    for cls, wdict in six.iteritems(live_refs):
        if cls.__name__ == class_name:
            if not wdict:
                break
            return min(six.iteritems(wdict), key=itemgetter(1))[0]
",if cls . __name__ == class_name :,90
"def recursive_rm(*patterns):
    """"""Recursively remove a file or matching a list of patterns.""""""
    for root, subdirs, subfiles in os.walk(u"".""):
        root = os.path.normpath(root)
        if root.startswith("".git/""):
            continue
        for file in subfiles:
            for pattern in patterns:
                if fnmatch.fnmatch(file, pattern):
                    safe_remove(os.path.join(root, file))
        for dir in subdirs:
            for pattern in patterns:
                if fnmatch.fnmatch(dir, pattern):
                    safe_rmtree(os.path.join(root, dir))
","if fnmatch . fnmatch ( file , pattern ) :",170
"def _methods(ctx, cls, inst):
    while cls.Attributes._wrapper and len(cls._type_info) > 0:
        (cls,) = cls._type_info.values()
    if cls.Attributes.methods is not None:
        for k, v in cls.Attributes.methods.items():
            is_shown = True
            if v.when is not None:
                is_shown = v.when(inst, ctx)
            if is_shown:
                yield k, v
",if v . when is not None :,130
"def save(self):
    for file_field in self.files:
        file = self.cleaned_data[file_field]
        self.cleaned_data[file_field] = default_storage.save(file.name, file)
    for name in settings.CONFIG:
        current = getattr(config, name)
        new = self.cleaned_data[name]
        if isinstance(new, str):
            new = normalize_newlines(new)
        if (
            conf.settings.USE_TZ
            and isinstance(current, datetime)
            and not timezone.is_aware(current)
        ):
            current = timezone.make_aware(current)
        if current != new:
            setattr(config, name, new)
","if isinstance ( new , str ) :",192
